date,equity
2026-03-03,99500.39
2026-03-04,99500.39
2026-03-05,99500.39
2026-03-06,99500.39
2026-03-09,99500.39
2026-03-10,99500.39
2026-03-11,99500.39
2026-03-12,99482.68
2026-03-13,99508.61
2026-03-16,99508.61
2026-03-17,99508.61
2026-03-18,99508.61
2026-03-19,99508.61
2026-03-20,99508.61
2026-03-23,99508.61
2026-03-24,99508.61
2026-03-25,99508.61
2026-03-26,99508.61
2026-03-27,99508.61
2026-03-30,99519.53
2026-03-31,99574.75
2026-04-01,99574.75
2026-04-02,99574.75
2026-04-06,99574.75
2026-04-07,99574.75
2026-04-08,99574.75
2026-04-09,99574.75
2026-04-10,99574.75
2026-04-13,99574.75
2026-04-14,99574.75
2026-04-15,99574.75
2026-04-16,99574.75
2026-04-17,99574.75
2026-04-20,99574.75
2026-04-21,99574.75
2026-04-22,99574.75
2026-04-23,99574.75
2026-04-24,99574.75
2026-04-27,99574.75
2026-04-28,99574.75
